1,2738,16462
2,125,13607
3,858,15174
4,2632,13731
5,2684,15728
6,72,14868
7,2532,15234
8,1687,14230
9,2976,15925
10,2383,15854
11,3320,14528
12,371,15292
13,2196,16013
14,1321,15990
15,1572,15092
16,1491,13556
17,2120,15734
18,2164,15062
19,522,13669
20,519,15086
21,1270,14020
22,1948,15161
23,3031,16312
24,2255,15552
25,3262,13534
26,853,15910
27,2072,13531
28,110,14571
29,590,13913
30,620,15334
31,323,14354
32,3176,15769
33,1963,14594
34,490,14297
35,3200,16062
36,1052,13806
37,744,14850
38,725,13517
39,2465,13923
40,373,13545
41,2581,16312
42,419,14841
43,2807,14690
44,2042,14269
45,599,16054
46,2644,14955
47,3261,15125
48,1863,16660
49,286,13798
50,1045,15499
51,1549,15319
52,279,13351
53,1644,13896
54,1020,15777
55,1480,14211
56,1859,14849
57,2961,14258
58,2752,15108
59,142,15138
60,1740,15311
61,2355,14237
62,1651,16310
63,2604,15493
64,2454,16097
65,593,14536
66,100,14259
67,1514,16091
68,559,15538
69,720,16664
70,3329,15477
71,84,13957
72,2282,14484
73,3025,15192
74,1980,15457
75,1013,14928
76,2944,13737
77,1789,15024
78,3134,14595
79,2626,14277
80,2207,13857
81,2961,15555
82,1820,13501
83,676,15700
84,2909,14495
85,746,13758
86,2403,15403
87,721,14322
88,106,15922
89,168,15671
90,1283,14278
91,1049,13528
92,1212,15652
93,1206,16274
94,95,13355
95,2789,15411
96,95,16204
97,1392,15464
98,107,16501
99,1704,14705
100,2734,13413
101,471,13375
102,2300,14857
103,2108,14824
104,422,15835
105,916,14551
106,2396,13580
107,979,16114
108,1996,16182
109,988,14231
110,2173,15287
111,2632,15984
112,2028,16386
113,2742,14005
114,1824,14360
115,1868,15989
116,1837,13719
117,1239,14565
118,1370,16559
119,410,15535
120,342,14593
121,1504,14817
122,2378,15076
123,130,15401
124,2444,14736
125,1527,15746
126,1835,15572
127,1723,15845
128,3214,14343
129,670,16382
130,392,16347
131,1602,16646
132,2042,13993
133,1508,14500
134,1037,16538
135,1096,15208
136,3296,14200
137,356,14079
138,303,16088
139,1318,15145
140,1263,14846
141,766,14037
142,2302,16341
143,2345,16597
144,1310,13740
145,3142,16551
146,3091,14013
147,2287,13365
148,823,15498
149,1836,14034
150,3017,14929
